name,type,rating,price,address,zipCode,note,coordinates
ai pono cafe,hawaiian,4.6,2,283 e 17th st suite a,92627,"interesting spins on hawaiian comfort food, pineapple curry risotto","33.633121961781285, -117.91662120131122"
oc and lau 2 restaurant bar,seafood,4.4,2,9892 westminster blvd #r,92844,,"33.75829462137772, -117.95656503650929"
papillon international bakery,bakery,4.5,1,5019 hollywood blvd,90027,"mediterranean/armenian bakery, ponchik","34.102111166250644, -118.29895452108721"
dulans,soul food,4.3,2,1714 w century blvd,90047,,"34.102111166250644, -118.29895452108721"
hambones,bbq,4.4,2,9825 belmont st,90706,,"33.88400085282339, -118.1241815634678"
fixins soul kitchen,soul food,4.5,2,800 w olympic blvd a150,90015,,"33.88400085282339, -118.1241815634678"
bafang dumpling,taiwanese,4.3,2,1552 s azusa ave suite b,91748,,"33.99425751339779, -117.93090644994797"
cajun fried chicken,chicken,4.4,1,4501 w martin luther king jr blvd,90016,,"34.01834384355507, -118.34572666528366"
el ruby mexican restaurant,mexican,4.4,1,4106 san fernando rd e,91204,,"34.12971630533031, -118.25961172292799"
saltwater deck,american,4.8,2,2630 e ocean blvd,90803,breakfast burrito,"33.76239645699298, -118.16305969417903"
maison matho,cafe,4.7,2,4770 melrose ave,90029,"bakery, good sandwiches","34.08349594968586, -118.30428530759765"
nep cafe,cafe,4.5,2,10836 warner ave,92708,vietnamese brunch,"33.71620659219297, -117.93976817884838"
wake and late,breakfast,4.5,1,105 e 6th st,90014,burritos,"34.045335031907904, -118.24953259226521"
dun huang,chinese,4.3,2,1370 fullerton rd #105,91748,,"33.9934890243144, -117.90224456159493"
donut prince,donuts,4.4,1,1721 w olive ave,91506,,"34.16724986827796, -118.32361471922442"
daily donut,donuts,4.3,1,2009 venice blvd,90006,,"34.044200923923974, -118.30067344808884"
new york chicken and gyro,middle eastern,4.1,2,11419 santa monica blvd,90025,,"34.04609726932986, -118.45158482294777"
master ha korean restaurant,korean,4.4,2,1147 s western ave,90006,,"34.049782313383794, -118.30953697877021"
the pie bar,pie,4.7,2,450 pine ave,90802,,"33.77255055345513, -118.19220784999996"
paderia bakehouse,bakery,4.6,2,3032 wilshire blvd suite e,90403,,"34.03956610411857, -118.47251716343129"
proof bakery,bakery,4.6,2,3156 glendale blvd,90039,croissants,"34.117112297844976, -118.26166413827244"
ritas italian ice and frozen custard,ice cream,4.5,1,11134 palms blvd,90034,,"34.019418455889365, -118.42164082295398"
angry egret dinette,sandwich,4.5,2,970 n broadway ste 114,90012,breakfast burrito,"34.06626774528744, -118.23580270575431"
panda express,chinese,4.2,1,3867 e foothill blvd,91107,"panda express test kitchen, orange chicken burrito","34.15117604288172, -118.06827910388708"
the hangar food hall,food court,4.7,2,4150 mcgowen st,90808,,"33.82935261604399, -118.14499369231602"
